file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,42,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,13
style.css,43,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,20
style.css,44,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,24
style.css,45,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,26
style.css,46,css,3b096322,allysontingg,2025-04-17,17:17:49,-07:00,2025-04-17T17:17:49-07:00,0,0
style.css,47,css,3b096322,allysontingg,2025-04-17,17:17:49,-07:00,2025-04-17T17:17:49-07:00,0,40
style.css,48,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,20
style.css,49,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,0
style.css,50,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,2
style.css,51,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,7
style.css,52,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,21
style.css,53,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,14
style.css,54,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,18
style.css,55,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,14
style.css,56,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,20
style.css,57,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,0
style.css,58,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,0
style.css,59,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,10
style.css,60,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,44
style.css,61,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,21
style.css,62,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,18
style.css,63,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,0
style.css,64,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,0
style.css,65,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,8
style.css,66,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,46
style.css,67,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,21
style.css,68,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,18
style.css,69,css,3b096322,allysontingg,2025-04-17,17:17:49,-07:00,2025-04-17T17:17:49-07:00,0,55
style.css,70,css,3b096322,allysontingg,2025-04-17,17:17:49,-07:00,2025-04-17T17:17:49-07:00,0,70
